student,gender,age,region,traveltime,studytime,performance,parentincome,activities,educatedparent,internet,freetime,attendance,G1,G2,G3,total,percentage,percent,result,shortlisted,inc
1,female,18,urban,2,2,60,450,0,1,1,3,63,5,6,6,18,30, 30.00 ,1,0,100
2,female,17,urban,1,1,40,100,0,0,0,3,83,5,5,6,16,26.66666667, 26.00 ,0,1,65
3,female,15,urban,1,2,60,65,0,0,0,3,51,7,8,10,26,43.33333333, 43.00 ,1,1,300
4,female,15,urban,1,3,80,300,1,1,1,2,94,15,14,15,45,75, 75.00 ,1,0,400
5,female,16,urban,1,4,90,500,0,1,1,3,76,6,10,10,27,45, 45.00 ,1,0,80
6,male,16,urban,1,2,60,400,1,1,1,4,94,15,15,15,46,76.66666667, 76.00 ,1,0,200
7,male,16,urban,1,2,60,500,0,1,1,4,93,12,12,11,36,60, 60.00 ,1,0,450
8,female,17,urban,2,4,90,70,0,0,0,1,86,6,5,6,17,28.33333333, 28.00 ,0,1,450
9,male,15,urban,1,2,60,400,0,1,1,2,57,16,18,19,54,90, 90.00 ,1,0,500
10,male,15,urban,1,3,80,300,1,1,1,5,64,14,15,15,45,75, 75.00 ,1,0,450
11,female,15,urban,1,2,60,450,0,1,1,3,76,10,8,9,27,45, 45.00 ,0,0,300
12,female,15,urban,3,3,80,450,1,1,1,2,83,10,12,12,35,58.33333333, 58.00 ,1,0,65
13,male,15,urban,1,1,40,200,1,0,1,3,89,14,14,14,43,71.66666667, 71.00 ,1,0,450
14,male,15,urban,2,2,60,300,0,1,1,4,66,10,10,11,32,53.33333333, 53.00 ,1,0,500
15,male,15,urban,1,3,80,70,0,0,0,5,62,14,16,16,47,78.33333333, 78.00 ,1,1,450
16,female,16,urban,1,1,40,80,0,0,0,4,81,14,14,14,43,71.66666667, 71.00 ,1,1,70
17,female,16,urban,1,3,80,250,1,0,1,2,55,13,14,14,42,70, 70.00 ,1,0,70
18,female,16,urban,3,2,60,65,1,0,0,3,91,8,10,10,29,48.33333333, 48.00 ,1,1,65
19,male,17,urban,1,1,40,100,1,0,0,5,72,6,5,5,16,26.66666667, 26.00 ,0,1,500
20,male,16,urban,1,4,90,80,1,0,0,1,61,8,10,10,29,48.33333333, 48.00 ,1,1,65
21,male,15,urban,1,2,60,300,0,1,1,4,58,13,14,15,43,71.66666667, 71.00 ,1,0,100
22,male,15,urban,1,1,40,70,0,0,0,4,58,12,15,15,43,71.66666667, 71.00 ,1,1,100
23,male,16,urban,1,2,60,250,1,0,1,5,79,15,15,16,47,78.33333333, 78.00 ,1,0,450
24,male,16,urban,2,2,60,500,1,1,1,4,78,13,13,12,39,65, 65.00 ,1,0,500
25,female,15,rural,1,3,80,500,1,1,1,3,64,10,9,8,27,45, 45.00 ,0,0,400
26,female,16,urban,1,1,40,400,0,1,1,2,62,6,9,8,23,38.33333333, 38.00 ,0,0,200
27,male,15,urban,1,1,40,500,0,1,1,2,52,12,12,11,36,60, 60.00 ,1,0,80
28,male,15,urban,1,1,40,80,0,0,0,2,68,15,16,15,47,78.33333333, 78.00 ,1,1,65
29,male,16,urban,1,2,60,65,1,0,0,3,65,11,11,11,34,56.66666667, 56.00 ,1,1,300
30,male,16,urban,1,3,80,450,1,1,1,4,84,10,12,11,34,56.66666667, 56.00 ,1,0,300
31,male,15,urban,1,2,60,100,0,0,0,4,61,9,11,12,33,55, 55.00 ,1,1,80
32,male,15,urban,2,2,60,500,1,1,1,3,75,17,16,17,51,85, 85.00 ,1,0,80
33,male,15,rural,1,2,60,80,1,0,0,5,72,17,16,16,50,83.33333333, 83.00 ,1,1,300
34,male,15,urban,1,2,60,400,1,1,1,3,80,8,10,12,31,51.66666667, 51.00 ,1,0,500
35,male,16,urban,1,1,40,400,0,1,1,4,92,12,14,15,42,70, 70.00 ,1,0,300
36,female,15,urban,2,1,40,500,1,1,1,5,58,8,7,6,21,35, 35.00 ,0,0,80
37,male,15,urban,1,3,80,400,1,1,1,4,87,15,16,18,50,83.33333333, 83.00 ,1,0,65
38,male,16,rural,2,3,80,250,1,0,1,4,68,15,16,15,47,78.33333333, 78.00 ,1,0,70
39,female,15,rural,1,3,80,70,1,0,0,3,95,12,12,11,36,60, 60.00 ,1,1,70
40,female,15,rural,1,1,40,200,1,0,1,3,79,14,13,13,41,68.33333333, 68.00 ,1,0,450
41,female,16,urban,2,2,60,250,1,0,1,3,92,7,10,11,29,48.33333333, 48.00 ,1,0,70
42,male,15,urban,1,4,90,80,0,0,0,4,86,12,12,12,37,61.66666667, 61.00 ,1,1,80
43,male,15,urban,1,2,60,80,1,0,0,3,51,19,18,18,56,93.33333333, 93.00 ,1,1,200
44,male,15,urban,1,1,40,80,0,0,0,4,87,8,8,11,28,46.66666667, 46.00 ,1,1,70
45,female,16,urban,2,2,60,300,1,1,1,3,59,10,10,9,29,48.33333333, 48.00 ,0,0,70
46,female,15,urban,1,2,60,80,1,0,0,2,77,8,8,6,22,36.66666667, 36.00 ,0,1,200
47,female,16,urban,1,2,60,200,0,0,1,3,92,11,12,11,35,58.33333333, 58.00 ,1,0,70
48,male,16,urban,1,4,90,200,1,0,1,2,91,19,19,20,59,98.33333333, 98.00 ,1,0,70
49,male,15,urban,1,2,60,300,0,1,1,3,53,15,15,14,45,75, 75.00 ,1,0,200
50,female,15,urban,1,2,60,300,1,1,1,4,53,7,7,7,21,35, 35.00 ,0,0,100
51,female,16,urban,3,2,60,80,0,0,0,3,64,12,13,13,39,65, 65.00 ,1,1,450
52,female,15,urban,1,2,60,70,0,0,0,3,58,11,13,13,38,63.33333333, 63.00 ,1,1,400
53,male,15,urban,2,1,40,450,0,1,1,5,94,11,11,10,33,55, 55.00 ,1,0,400
54,female,15,urban,1,1,40,100,0,0,0,3,58,8,10,11,30,50, 50.00 ,1,1,500
55,female,15,urban,1,1,40,100,0,0,0,3,59,10,13,13,37,61.66666667, 61.00 ,1,1,200
56,female,16,urban,1,2,60,80,1,0,0,3,52,8,9,10,28,46.66666667, 46.00 ,1,1,65
57,female,15,urban,1,2,60,250,1,0,1,3,90,14,15,15,45,75, 75.00 ,1,0,80
58,male,15,urban,1,2,60,70,1,0,0,2,82,14,15,15,45,75, 75.00 ,1,1,250
59,male,15,urban,1,2,60,70,1,0,0,3,68,9,10,9,28,46.66666667, 46.00 ,0,1,70
60,female,16,urban,1,2,60,65,0,0,0,2,52,15,16,16,48,80, 80.00 ,1,1,400
61,female,16,rural,1,2,60,80,1,0,0,4,74,10,11,11,33,55, 55.00 ,1,1,100
62,female,16,urban,4,1,40,300,1,1,1,5,63,10,8,11,30,50, 50.00 ,1,0,250
63,female,16,urban,1,2,60,400,1,1,1,4,70,8,10,9,27,45, 45.00 ,0,0,80
64,female,16,urban,1,3,80,65,1,0,0,4,92,10,9,9,28,46.66666667, 46.00 ,0,1,300
65,female,15,urban,1,2,60,200,1,0,1,4,70,10,10,10,31,51.66666667, 51.00 ,1,0,65
66,female,16,urban,3,2,60,250,1,0,1,4,59,16,15,15,47,78.33333333, 78.00 ,1,0,400
67,male,15,urban,1,4,90,250,1,0,1,3,71,13,13,12,39,65, 65.00 ,1,0,100
68,female,16,urban,1,4,90,300,0,1,1,3,68,7,7,6,20,33.33333333, 33.00 ,0,0,70
69,female,15,rural,2,2,60,450,0,1,1,1,60,8,9,8,25,41.66666667, 41.00 ,0,0,70
70,female,15,rural,2,4,90,200,0,0,1,4,63,16,16,16,49,81.66666667, 81.00 ,1,0,250
71,male,16,urban,2,4,90,250,0,0,1,3,63,13,15,15,44,73.33333333, 73.00 ,1,0,450
72,male,15,urban,1,4,90,450,0,1,1,3,87,10,10,10,31,51.66666667, 51.00 ,1,0,500
73,female,15,rural,1,2,60,65,0,0,0,3,93,8,6,5,19,31.66666667, 31.00 ,0,1,200
74,male,16,urban,1,1,40,70,1,0,0,3,65,12,12,14,39,65, 65.00 ,1,1,500
75,female,16,urban,1,2,60,70,1,0,0,3,58,11,12,11,35,58.33333333, 58.00 ,1,1,200
76,male,15,urban,3,2,60,65,1,0,0,3,75,9,9,10,29,48.33333333, 48.00 ,1,1,100
77,male,15,urban,2,4,90,250,1,0,1,4,52,11,11,10,33,55, 55.00 ,1,0,65
78,female,16,urban,4,4,90,400,0,1,1,2,69,11,11,11,34,56.66666667, 56.00 ,1,0,400
79,male,17,urban,2,1,40,250,1,0,1,5,60,8,8,10,27,45, 45.00 ,1,0,100
80,female,16,urban,1,2,60,500,0,1,1,4,84,5,5,5,15,25, 25.00 ,0,0,80
81,male,15,urban,1,1,40,500,1,1,1,2,75,10,12,12,35,58.33333333, 58.00 ,1,0,250
82,male,15,urban,4,3,80,80,0,0,0,3,81,11,10,11,33,55, 55.00 ,1,1,500
83,female,15,urban,1,2,60,200,0,0,1,4,54,7,6,6,19,31.66666667, 31.00 ,0,0,80
84,male,15,urban,2,2,60,400,1,1,1,3,91,15,15,15,46,76.66666667, 76.00 ,1,0,65
85,female,15,urban,1,4,90,400,1,1,1,3,81,9,10,10,30,50, 50.00 ,1,0,65
86,female,15,urban,2,2,60,65,0,0,0,4,52,7,9,8,24,40, 40.00 ,0,1,450
87,female,16,urban,1,2,60,80,0,0,0,3,91,8,7,6,21,35, 35.00 ,0,1,300
88,female,15,urban,1,3,80,200,1,0,1,3,70,13,14,14,42,70, 70.00 ,1,0,70
89,male,16,urban,2,2,60,300,1,1,1,4,83,11,10,10,32,53.33333333, 53.00 ,1,0,250
90,male,16,urban,1,2,60,250,0,0,1,1,94,8,6,7,21,35, 35.00 ,0,0,250
91,female,16,urban,1,3,80,70,0,0,0,3,57,7,7,8,22,36.66666667, 36.00 ,0,1,400
92,female,15,urban,1,1,40,500,1,1,1,5,50,16,17,18,52,86.66666667, 86.00 ,1,0,80
93,female,16,urban,1,2,60,400,0,1,1,3,78,7,6,6,19,31.66666667, 31.00 ,0,0,70
94,female,16,urban,2,2,60,400,1,1,1,3,93,11,10,10,32,53.33333333, 53.00 ,1,0,250
95,male,15,urban,1,4,90,250,1,0,1,3,95,11,13,14,39,65, 65.00 ,1,0,200
96,female,15,rural,2,4,90,250,1,0,1,1,51,7,10,10,28,46.66666667, 46.00 ,1,0,70
97,male,16,rural,2,1,40,80,1,0,0,3,89,11,15,15,42,70, 70.00 ,1,1,450
98,female,16,urban,1,3,80,500,0,1,1,3,87,8,9,10,28,46.66666667, 46.00 ,1,0,70
99,female,16,urban,1,1,40,450,1,1,1,3,68,11,14,14,40,66.66666667, 66.00 ,1,0,400
100,female,16,urban,1,3,80,450,0,1,1,3,69,7,9,8,24,40, 40.00 ,0,0,400
101,male,16,urban,1,1,40,70,1,0,0,5,85,7,7,5,19,31.66666667, 31.00 ,0,1,70
102,male,16,urban,1,3,80,400,1,1,1,4,77,16,17,17,51,85, 85.00 ,1,0,300
103,male,15,urban,1,1,40,65,1,0,0,3,69,10,13,14,38,63.33333333, 63.00 ,1,1,500
104,female,15,urban,2,2,60,70,0,0,0,3,92,7,6,6,19,31.66666667, 31.00 ,0,1,200
105,male,15,urban,1,2,60,500,1,1,1,4,86,16,18,18,53,88.33333333, 88.00 ,1,0,65
106,female,15,urban,1,4,90,400,0,1,1,3,59,10,11,11,33,55, 55.00 ,1,0,450
107,female,15,urban,1,4,90,80,0,0,0,1,80,7,8,8,23,38.33333333, 38.00 ,0,1,200
108,male,16,urban,1,3,80,400,1,1,1,3,51,16,18,18,53,88.33333333, 88.00 ,1,0,100
109,male,15,rural,4,4,90,65,1,0,0,3,72,10,13,13,37,61.66666667, 61.00 ,1,1,300
110,female,16,urban,1,3,80,200,1,0,1,4,74,14,15,16,46,76.66666667, 76.00 ,1,0,300
111,male,15,urban,1,1,40,250,1,0,1,5,76,18,19,19,57,95, 95.00 ,1,0,450
112,female,16,rural,1,3,80,65,1,0,0,1,82,7,10,10,28,46.66666667, 46.00 ,1,1,200
113,female,16,urban,1,2,60,300,1,1,1,1,82,10,13,13,37,61.66666667, 61.00 ,1,0,250
114,male,15,urban,1,1,40,250,0,0,1,5,63,18,19,19,57,95, 95.00 ,1,0,300
115,male,15,rural,1,3,80,65,1,0,0,4,68,9,9,9,27,45, 45.00 ,0,1,250
116,male,16,urban,1,2,60,65,1,0,0,4,62,15,15,16,47,78.33333333, 78.00 ,1,1,65
117,male,15,urban,2,3,80,65,1,0,0,4,63,11,13,14,39,65, 65.00 ,1,1,500
118,male,16,urban,2,1,40,300,1,1,1,4,55,13,14,13,41,68.33333333, 68.00 ,1,0,80
119,male,17,rural,3,2,60,300,1,1,1,2,63,9,7,8,24,40, 40.00 ,0,0,300
120,male,15,urban,1,1,40,300,0,1,1,4,78,14,13,13,41,68.33333333, 68.00 ,1,0,400
121,female,15,urban,1,2,60,400,0,1,1,2,83,16,15,15,47,78.33333333, 78.00 ,1,0,450
122,male,15,urban,1,4,90,300,1,1,1,5,70,16,14,15,46,76.66666667, 76.00 ,1,0,300
123,female,16,urban,2,2,60,200,1,0,1,2,60,13,13,13,40,66.66666667, 66.00 ,1,0,250
124,male,16,urban,1,1,40,65,1,0,0,4,64,14,11,13,39,65, 65.00 ,1,1,65
125,female,16,urban,1,2,60,200,0,0,1,4,56,8,7,8,23,38.33333333, 38.00 ,0,0,100
126,male,15,urban,1,1,40,80,0,0,0,5,55,13,13,12,39,65, 65.00 ,1,1,80
127,female,15,urban,1,2,60,500,1,1,1,3,62,7,10,11,29,48.33333333, 48.00 ,1,0,300
128,female,19,urban,1,2,60,200,0,0,1,4,54,7,8,9,24,40, 40.00 ,0,0,80
129,male,18,rural,1,1,40,65,1,0,0,3,83,7,4,0,11,18.33333333, 18.00 ,0,1,65
130,male,16,rural,1,1,40,80,1,0,0,5,71,18,18,18,55,91.66666667, 91.00 ,1,1,100
131,female,15,rural,2,3,80,100,0,0,0,2,65,12,0,0,12,20, 20.00 ,0,1,500
132,female,15,urban,3,1,40,250,1,0,1,3,66,8,0,0,8,13.33333333, 13.00 ,0,0,450
133,female,17,urban,1,4,90,400,0,1,1,4,74,10,13,12,36,60, 60.00 ,1,0,70
134,female,16,urban,1,1,40,250,0,0,1,2,93,12,11,11,35,58.33333333, 58.00 ,1,0,70
135,male,15,rural,4,2,60,400,0,1,1,3,73,9,0,0,9,15, 15.00 ,0,0,70
136,female,15,urban,1,3,80,200,1,0,1,3,57,11,0,0,11,18.33333333, 18.00 ,0,0,65
137,male,17,rural,3,2,60,400,0,1,1,4,88,10,0,0,10,16.66666667, 16.00 ,0,0,300
138,female,16,urban,2,1,40,100,1,0,0,3,87,4,0,0,4,6.666666667, 6.00 ,0,1,250
139,male,16,urban,1,2,60,80,0,0,0,4,77,14,12,12,39,65, 65.00 ,1,1,450
140,female,15,urban,2,1,40,100,1,0,0,3,92,16,16,15,48,80, 80.00 ,1,1,100
141,male,15,urban,2,4,90,500,0,1,1,2,74,7,9,0,16,26.66666667, 26.00 ,0,0,80
142,male,16,urban,2,1,40,250,1,0,1,3,86,9,9,9,27,45, 45.00 ,0,0,300
143,female,15,urban,1,3,80,200,1,0,1,2,92,9,11,11,32,53.33333333, 53.00 ,1,0,100
144,female,16,urban,1,1,40,450,0,1,1,4,60,14,14,13,42,70, 70.00 ,1,0,500
145,male,17,urban,1,4,90,250,0,0,1,4,50,5,0,0,5,8.333333333, 8.00 ,0,0,450
146,female,15,urban,1,2,60,70,0,0,0,4,83,8,11,11,31,51.66666667, 51.00 ,1,1,65
147,female,15,urban,1,2,60,500,0,1,1,3,60,6,7,0,13,21.66666667, 21.00 ,0,0,250
148,female,15,urban,1,2,60,500,0,1,1,3,73,10,11,11,33,55, 55.00 ,1,0,300
149,male,16,urban,1,1,40,70,0,0,0,3,92,7,6,0,13,21.66666667, 21.00 ,0,1,300
150,male,15,urban,4,1,40,80,0,0,0,5,84,8,9,10,28,46.66666667, 46.00 ,1,1,300
151,male,18,urban,1,1,40,200,0,0,1,3,76,6,5,0,11,18.33333333, 18.00 ,0,0,70
152,male,16,urban,1,1,40,200,1,0,1,4,52,12,13,14,40,66.66666667, 66.00 ,1,0,80
153,female,15,rural,2,3,80,80,1,0,0,2,85,10,10,10,31,51.66666667, 51.00 ,1,1,65
154,male,19,urban,1,1,40,250,0,0,1,5,92,5,0,0,5,8.333333333, 8.00 ,0,0,500
155,female,17,urban,1,1,40,100,0,0,0,2,69,11,11,12,35,58.33333333, 58.00 ,1,1,450
156,male,15,rural,1,2,60,80,1,0,0,4,93,11,8,8,27,45, 45.00 ,0,1,65
157,male,17,rural,1,1,40,250,0,0,1,2,84,16,12,13,42,70, 70.00 ,1,0,400
158,female,18,rural,3,1,40,80,1,0,0,2,93,9,8,10,28,46.66666667, 46.00 ,1,1,250
159,male,16,rural,3,1,40,200,0,0,1,2,80,17,15,15,48,80, 80.00 ,1,0,100
160,male,16,urban,1,2,60,100,0,0,0,5,76,10,12,12,35,58.33333333, 58.00 ,1,1,300
161,male,17,rural,2,1,40,300,1,1,1,3,65,7,6,0,13,21.66666667, 21.00 ,0,0,80
162,male,15,rural,2,2,60,100,0,0,0,4,90,5,9,7,21,35, 35.00 ,0,1,300
163,male,16,urban,2,1,40,450,1,1,1,4,88,7,0,0,7,11.66666667, 11.00 ,0,0,100
164,male,17,urban,1,4,90,65,0,0,0,3,88,10,10,10,31,51.66666667, 51.00 ,1,1,500
165,male,17,rural,4,2,60,250,1,0,1,3,82,5,8,7,20,33.33333333, 33.00 ,0,0,200
166,male,16,urban,2,1,40,300,1,1,1,5,72,12,11,12,36,60, 60.00 ,1,0,80
167,male,16,urban,1,2,60,100,0,0,0,3,75,10,10,10,31,51.66666667, 51.00 ,1,1,100
168,female,16,urban,1,2,60,400,0,1,1,2,63,14,15,16,46,76.66666667, 76.00 ,1,0,200
169,female,16,urban,1,2,60,250,0,0,1,1,86,6,7,0,13,21.66666667, 21.00 ,0,0,450
170,female,16,urban,1,2,60,65,0,0,0,4,87,14,14,14,43,71.66666667, 71.00 ,1,1,250
171,male,16,urban,3,1,40,200,1,0,1,4,55,6,5,0,11,18.33333333, 18.00 ,0,0,100
172,male,16,urban,2,2,60,400,1,1,1,3,95,13,15,16,45,75, 75.00 ,1,0,70
173,male,17,urban,1,2,60,200,1,0,1,4,50,13,11,10,35,58.33333333, 58.00 ,1,0,200
174,female,16,urban,1,2,60,70,1,0,0,3,57,8,7,0,15,25, 25.00 ,0,1,100
175,female,16,urban,2,3,80,500,1,1,1,4,57,10,11,9,30,50, 50.00 ,0,0,500
176,male,17,urban,2,2,60,500,1,1,1,4,88,10,9,9,28,46.66666667, 46.00 ,0,0,100
177,female,16,urban,2,2,60,65,1,0,0,4,72,13,13,11,38,63.33333333, 63.00 ,1,1,300
178,male,17,urban,1,4,90,400,1,1,1,3,72,6,5,6,17,28.33333333, 28.00 ,0,0,450
179,male,16,rural,1,1,40,65,1,0,0,3,65,10,8,9,27,45, 45.00 ,0,1,100
180,male,17,urban,1,2,60,200,1,0,1,2,85,10,10,11,32,53.33333333, 53.00 ,1,0,100
181,male,16,urban,1,2,60,80,1,0,0,4,55,9,8,8,25,41.66666667, 41.00 ,0,1,400
182,male,16,urban,1,4,90,100,1,0,0,2,55,12,13,12,38,63.33333333, 63.00 ,1,1,450
183,female,17,urban,1,2,60,65,1,0,0,4,51,16,17,17,51,85, 85.00 ,1,1,80
184,female,17,urban,1,2,60,450,1,1,1,3,87,9,9,8,26,43.33333333, 43.00 ,0,0,400
185,female,16,urban,1,3,80,65,0,0,0,2,55,12,13,12,38,63.33333333, 63.00 ,1,1,450
186,male,17,urban,1,2,60,300,1,1,1,3,75,12,12,11,36,60, 60.00 ,1,0,70
187,male,16,urban,1,1,40,250,1,0,1,3,56,11,12,11,35,58.33333333, 58.00 ,1,0,200
188,male,16,urban,1,2,60,250,1,0,1,2,88,15,15,15,46,76.66666667, 76.00 ,1,0,500
189,female,17,urban,1,2,60,500,0,1,1,3,51,8,7,9,24,40, 40.00 ,0,0,450
190,male,17,rural,1,3,80,65,0,0,0,1,94,8,9,10,28,46.66666667, 46.00 ,1,1,70
191,female,16,urban,1,2,60,300,0,1,1,3,54,11,12,13,37,61.66666667, 61.00 ,1,0,200
192,female,17,urban,1,4,90,65,1,0,0,3,89,8,8,9,25,41.66666667, 41.00 ,0,1,300
193,male,17,urban,2,2,60,100,1,0,0,4,65,7,8,8,23,38.33333333, 38.00 ,0,1,80
194,male,16,rural,1,1,40,65,1,0,0,3,51,8,9,10,28,46.66666667, 46.00 ,1,1,80
195,male,16,urban,2,4,90,300,0,1,1,3,87,13,14,14,42,70, 70.00 ,1,0,250
196,female,17,urban,1,2,60,80,1,0,0,3,67,14,15,15,45,75, 75.00 ,1,1,250
197,male,17,urban,1,1,40,500,0,1,1,2,50,17,15,16,49,81.66666667, 81.00 ,1,0,70
198,male,16,rural,3,1,40,80,1,0,0,3,59,9,9,10,29,48.33333333, 48.00 ,1,1,100
199,female,17,urban,2,4,90,250,0,0,1,2,88,18,18,18,55,91.66666667, 91.00 ,1,0,200
200,female,16,urban,1,2,60,100,0,0,0,5,75,9,9,10,29,48.33333333, 48.00 ,1,1,500
